strategy,base_strategy,regime_filtered,symbol,timeframe,sharpe,cagr,max_drawdown,win_rate,profit_factor,trade_count,total_return,gate1_pass,halted
triple_screen,triple_screen,False,MSFT,1d,0.1305,0.0061,0.111,0.5747,1.11,87,0.0307,False,False
triple_screen+regime,triple_screen,True,MSFT,1d,0.1458,0.006,0.0873,0.5846,1.16,65,0.0304,False,False
atr_breakout,atr_breakout,False,MSFT,1d,0.1616,0.0089,0.1674,0.2754,1.14,69,0.0452,False,False
atr_breakout+regime,atr_breakout,True,MSFT,1d,0.3015,0.0178,0.0862,0.3265,1.06,49,0.092,False,False
momentum_long,momentum_long,False,MSFT,1d,-0.4734,-0.0868,0.203,0.0,0.0,2,-0.0796,False,True
momentum_long+regime,momentum_long,True,MSFT,1d,0.3738,0.0244,0.1132,0.4667,1.74,15,0.1275,False,False
alpha_composite,alpha_composite,False,MSFT,1d,-0.3224,-0.0259,0.1945,0.4683,0.95,126,-0.1226,False,False
alpha_composite+regime,alpha_composite,True,MSFT,1d,-0.3234,-0.0249,0.158,0.4302,0.73,86,-0.118,False,False
alpha_trend_v2,alpha_trend_v2,False,MSFT,1d,-0.2837,-0.0188,0.154,0.4526,0.85,137,-0.0904,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,MSFT,1d,-0.4725,-0.0229,0.1713,0.4194,0.7,93,-0.109,False,False
alpha_momentum_v2,alpha_momentum_v2,False,MSFT,1d,-0.1713,-0.0411,0.2004,0.6,0.91,35,-0.0607,False,True
alpha_momentum_v2+regime,alpha_momentum_v2,True,MSFT,1d,-0.1941,-0.0288,0.2092,0.4714,0.8,70,-0.1055,False,True
ema_crossover,ema_crossover,False,NOW,1d,-0.4322,-0.0127,0.1156,0.2333,0.62,30,-0.0619,False,False
ema_crossover+regime,ema_crossover,True,NOW,1d,-0.3198,-0.0142,0.0965,0.16,0.69,25,-0.0689,False,False
donchian_bo,donchian_bo,False,NOW,1d,-0.3963,-0.0057,0.0391,0.459,0.61,61,-0.0282,False,False
donchian_bo+regime,donchian_bo,True,NOW,1d,-0.3303,-0.0043,0.0263,0.449,0.47,49,-0.0211,False,False
macd_momentum,macd_momentum,False,NOW,1d,-0.2198,-0.0095,0.1188,0.3333,0.7,54,-0.0462,False,False
macd_momentum+regime,macd_momentum,True,NOW,1d,0.1482,0.0073,0.1053,0.3333,0.65,42,0.037,False,False
triple_screen,triple_screen,False,NOW,1d,-1.3471,-0.1085,0.2041,0.4333,0.44,30,-0.1788,False,True
triple_screen+regime,triple_screen,True,NOW,1d,0.0108,-0.0015,0.1285,0.5625,1.02,64,-0.0073,False,False
atr_breakout,atr_breakout,False,NOW,1d,-0.4736,-0.0589,0.2049,0.2222,0.71,27,-0.0982,False,True
atr_breakout+regime,atr_breakout,True,NOW,1d,-0.3615,-0.0318,0.1793,0.3226,0.69,62,-0.1486,False,False
momentum_long,momentum_long,False,NOW,1d,-0.7685,-0.1967,0.2483,0.0,0.0,1,-0.1574,False,True
momentum_long+regime,momentum_long,True,NOW,1d,0.2607,0.0267,0.203,0.4286,1.81,7,0.0864,False,True
alpha_composite,alpha_composite,False,NOW,1d,-0.9546,-0.0907,0.2001,0.4186,0.58,43,-0.131,False,True
alpha_composite+regime,alpha_composite,True,NOW,1d,-0.2222,-0.027,0.2021,0.3768,1.03,69,-0.1132,False,True
alpha_trend_v2,alpha_trend_v2,False,NOW,1d,0.1329,0.008,0.1542,0.4286,1.01,147,0.0404,False,False
alpha_trend_v2+regime,alpha_trend_v2,True,NOW,1d,-0.0693,-0.0076,0.2004,0.3793,0.84,87,-0.0355,False,True
alpha_momentum_v2,alpha_momentum_v2,False,NOW,1d,-0.5348,-0.1076,0.2077,0.5455,1.08,11,-0.0852,False,True
